OBSERVED,,,,,,,,,EXPECTED ,,,,,,
,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic,SUM,,,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic
indian,1,0,1,0,0,0,2,,indian,0.0056577086,0.012887003,1.100110011,0.0015715857,0.4614175703,0.4183561213
asian,0,16,54,0,17,14,101,,asian,0.2857142857,0.6507936508,55.5555555556,0.0793650794,23.3015873016,21.126984127
afam,5,14,2476,3,337,398,3233,,afam,9.1456859972,20.8318403269,1778.3278327833,2.5404683325,745.881502436,676.2726701242
hawaii,0,0,6,0,0,0,6,,hawaii,0.0169731259,0.038661009,3.300330033,0.0047147572,1.384252711,1.255068364
white,6,6,277,0,581,309,1179,,white,3.3352192362,7.5968882603,648.5148514851,0.9264497878,272.0056577086,246.6209335219
hisp,0,3,87,0,90,106,286,,hisp,0.8090523338,1.842841427,157.3157315732,0.2247367594,65.982712557,59.8249253497
unknown,1,2,290,2,175,190,660,,unknown,1.8670438472,4.2527109854,363.0363036304,0.5186232909,152.2677982084,138.0575200377
afamandwhite,0,0,11,0,10,12,33,,afamandwhite,0.0933521924,0.2126355493,18.1518151815,0.0259311645,7.6133899104,6.9028760019
afamandhisp,1,0,121,0,61,94,277,,afamandhisp,0.783592645,1.7848499136,152.3652365237,0.2176646236,63.9063334905,57.9423228037
whiteandhisp,4,0,169,0,194,204,571,,whiteandhisp,1.6152758133,3.6792393525,314.0814081408,0.4486877259,131.7347163288,119.4406726387
afamwhitehisp,0,0,4,0,3,3,10,,afamwhitehisp,0.0282885431,0.0644350149,5.500550055,0.0078579287,2.3070878516,2.0917806066
hispanicasian,0,0,1,0,0,1,2,,hispanicasian,0.0282885431,0.012887003,1.100110011,0.0015715857,0.4614175703,0.4183561213
indianhispanic,0,0,1,0,0,0,1,,indianhispanic,0.0028288543,0.0064435015,0.5500550055,0.0007857929,0.2307087852,0.2091780607
asianwhite,0,0,1,0,0,0,1,,asianwhite,0.0028288543,0.0064435015,0.5500550055,0.0007857929,0.2307087852,0.2091780607
asianafam,0,0,1,0,0,0,1,,asianafam,0.0028288543,0.0064435015,0.5500550055,0.0007857929,0.2307087852,0.2091780607
SUM,18,41,3500,5,1468,1331,,,,,,,,,
,6363,,,,,,,,,,,,,,
probability ,0.0028288543,0.0064435015,0.5500550055,0.0007857929,0.2307087852,0.2091780607,,DIFFERENCE,,,,,,,
,,,,,,,,child race ,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic,
ACTUAL,EXPECTED,(Obs-exp)^2,,,,,,indian,0.9943422914,-0.012887003,-0.100110011,-0.0015715857,-0.4614175703,-0.4183561213,
1,0.0056577086,0.9887165924,,,,,,asian,-0.2857142857,15.3492063492,-1.5555555556,-0.0793650794,-6.3015873016,-7.126984127,
0,0.2857142857,0.0816326531,,,,,,afam,-4.1456859972,-6.8318403269,697.6721672167,0.4595316675,-408.881502436,-278.2726701242,
5,9.1456859972,17.1867123871,,,,,,hawaii,-0.0169731259,-0.038661009,2.699669967,-0.0047147572,-1.384252711,-1.255068364,
0,0.0169731259,0.000288087,,,,,,white,2.6647807638,-1.5968882603,-371.5148514851,-0.9264497878,308.9943422914,62.3790664781,
6,3.3352192362,7.1010565191,,,,,,hisp,-0.8090523338,1.157158573,-70.3157315732,-0.2247367594,24.017287443,46.1750746503,
0,0.8090523338,0.6545656788,,,,,,unknown,-0.8670438472,-2.2527109854,-73.0363036304,1.4813767091,22.7322017916,51.9424799623,
1,1.8670438472,0.751765033,,,,,,afamandwhite,-0.0933521924,-0.2126355493,-7.1518151815,-0.0259311645,2.3866100896,5.0971239981,
0,0.0933521924,0.0087146318,,,,,,afamandhisp,0.216407355,-1.7848499136,-31.3652365237,-0.2176646236,-2.9063334905,36.0576771963,
1,0.783592645,0.0468321433,,,,,,whiteandhisp,2.3847241867,-3.6792393525,-145.0814081408,-0.4486877259,62.2652836712,84.5593273613,
4,1.6152758133,5.6869094467,,,,,,afamwhitehisp,-0.0282885431,-0.0644350149,-1.500550055,-0.0078579287,0.6929121484,0.9082193934,
0,0.0282885431,0.0008002417,,,,,,hispanicasian,-0.0282885431,-0.012887003,-0.100110011,-0.0015715857,-0.4614175703,0.5816438787,
